,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
0,Laptop,94239133,HP,Vostro,09-06-2014,11-02-2021,No,Yes,No,Poor,19.73,Poor
1,Smart Phone,33624389,Lenovo,ThinkPad,10-07-2015,17-03-2021,No,Yes,No,Poor,34.55,Good
2,Laptop,37806736,HP,ThinkPad,29-01-2016,16-06-2021,No,Yes,No,Average,37.9,Good
3,Feature Phone,17358477,Dell,ProBook,20-11-2018,25-01-2021,Yes,Yes,No,Average,37.69,Average
4,Feature Phone,71772646,Dell,EliteBook,26-09-2015,14-03-2021,No,Yes,No,Good,38.22,Poor
5,Laptop,75225957,Dell,ThinkPad,21-05-2019,24-02-2021,Yes,No,No,Average,34.88,Poor
6,Smart Phone,80443728,Lenovo,Inspiron,18-11-2016,19-07-2021,Yes,Yes,No,Average,22.41,Poor
7,Smart Phone,32344417,Dell,ThinkPad,17-06-2020,20-01-2021,Yes,No,No,Good,12.89,Poor
8,Smart Phone,57731667,Dell,EliteBook,21-12-2015,24-02-2021,Yes,Yes,Yes,Poor,13.4,Poor
9,Laptop,33210674,Dell,ThinkPad,18-05-2020,17-07-2021,No,No,No,Good,23.38,Average
10,Smart Phone,5237456,Lenovo,MacBook,02-04-2019,08-01-2021,Yes,Yes,No,Poor,34.6,Poor
11,Laptop,16624023,Apple,ProBook,05-02-2014,26-06-2021,Yes,Yes,Yes,Good,23.46,Poor
12,Smart Phone,81915231,HP,ThinkPad,12-04-2016,11-06-2021,Yes,No,No,Average,5.8,Poor
13,Laptop,69828379,Apple,Inspiron,09-04-2019,03-03-2021,Yes,Yes,No,Poor,31.16,Poor
14,Laptop,4725084,HP,ThinkPad,31-08-2014,05-04-2021,No,No,No,Average,34.81,Good
15,Smart Phone,11770688,HP,ThinkPad,27-03-2015,06-01-2021,No,No,Yes,Average,17.95,Poor
16,Laptop,69625039,Apple,Vostro,19-07-2017,22-07-2021,No,Yes,Yes,Poor,25.77,Average
17,Smart Phone,60876089,Dell,Inspiron,11-07-2016,12-03-2021,No,No,No,Good,4.49,Good
18,Smart Phone,92799059,HP,EliteBook,01-02-2020,23-04-2021,Yes,No,Yes,Poor,13.51,Good
19,Feature Phone,22657640,Dell,ProBook,30-04-2014,13-04-2021,Yes,Yes,Yes,Poor,12.49,Average
20,Smart Phone,18125184,Dell,ProBook,05-08-2016,13-02-2021,Yes,Yes,No,Poor,22.19,Good
21,Feature Phone,16209510,Dell,Inspiron,10-03-2014,06-05-2021,No,No,No,Average,7.38,Good
22,Feature Phone,911436,Apple,Vostro,26-06-2018,23-06-2021,Yes,No,No,Good,31.14,Good
23,Smart Phone,26239279,Lenovo,ProBook,23-12-2018,10-01-2021,No,No,Yes,Poor,28.35,Average
24,Laptop,52536793,Lenovo,ThinkPad,08-07-2019,29-04-2021,Yes,Yes,Yes,Average,11.75,Good
25,Feature Phone,95916446,HP,EliteBook,30-12-2018,15-07-2021,No,No,Yes,Poor,34.4,Poor
26,Smart Phone,13744496,Apple,MacBook,16-02-2017,24-05-2021,No,No,No,Poor,34.73,Average
27,Laptop,63549355,HP,Inspiron,03-10-2020,23-05-2021,Yes,No,Yes,Good,7.23,Poor
28,Smart Phone,90628252,Dell,Vostro,14-07-2015,08-05-2021,No,Yes,No,Good,34.47,Average
29,Feature Phone,49433814,HP,MacBook,04-09-2018,05-01-2021,Yes,Yes,No,Average,18.42,Poor
30,Smart Phone,40610016,Dell,ProBook,16-03-2016,23-03-2021,Yes,No,No,Poor,16.36,Average
