,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,Assessment_Date,Age,device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
0,Laptop,91719911,HP,EliteBook,2014-07-05,2021-03-18,2022-02-18,2785 days,No,No,No,Average,8.54,Average
1,Smart Phone,25246018,Samsung,Galaxy S9,2020-05-16,2021-01-17,2022-02-18,643 days,No,Yes,Yes,Good,14.69,Good
2,Smart Phone,88095097,Oppo,N1,2019-05-26,2021-05-10,2022-02-18,999 days,Yes,Yes,Yes,Poor,4.72,Poor
3,Laptop,38397677,Lenovo,Ideapad,2018-07-08,2021-08-07,2022-02-18,1321 days,Yes,Yes,Yes,Good,14.47,Good
4,Laptop,09867451,Apple,ProBook,2015-03-05,2021-05-17,2022-02-18,2542 days,Yes,Yes,Yes,Good,14.17,Good
5,Laptop,03387078,Lenovo,ThinkPad,2016-07-03,2021-07-23,2022-02-18,2056 days,Yes,Yes,Yes,Good,14.33,Good
6,Laptop,24022705,Dell,Inspiron,2017-02-21,2021-04-29,2022-02-18,1823 days,Yes,Yes,Yes,Average,8.95,Average
7,Smart Phone,66285472,Nokia,G50,2015-09-11,2021-05-22,2022-02-18,2352 days,No,No,Yes,Average,6.95,Average
8,Feature Phone,09824287,Nokia,125,2019-08-18,2021-06-26,2022-02-18,915 days,No,No,No,Average,7.98,Average
9,Smart Phone,78384941,OnePlus,OnePlus 7,2017-11-24,2021-07-18,2022-02-18,1547 days,No,No,No,Poor,3.83,Poor
10,Smart Phone,25823387,OnePlus,OnePlus 6T,2014-07-22,2021-04-18,2022-02-18,2768 days,Yes,Yes,Yes,Good,17.47,Good
11,Smart Phone,12439980,OnePlus,OnePlus 9R,2014-04-20,2021-03-14,2022-02-18,2861 days,No,Yes,No,Average,8.1,Average
12,Feature Phone,44979430,Nokia,5310,2016-08-08,2021-01-13,2022-02-18,2020 days,No,Yes,No,Average,9.58,Average
13,Laptop,64771878,Apple,ProBook,2014-11-29,2021-08-04,2022-02-18,2638 days,No,No,No,Good,13.64,Good
14,Smart Phone,55036108,Samsung,Galaxy J7 duo,2015-04-28,2021-04-28,2022-02-18,2488 days,Yes,No,Yes,Average,6.13,Average
15,Laptop,48742900,Lenovo,ThinkPad,2020-04-25,2021-08-04,2022-02-18,664 days,No,No,Yes,Good,11.74,Good
16,Smart Phone,92862609,Blackberry,Q10,2014-06-20,2021-04-18,2022-02-18,2800 days,No,No,No,Average,8.33,Average
17,Smart Phone,02466323,OnePlus,OnePlus 6T,2018-10-14,2021-01-24,2022-02-18,1223 days,No,No,Yes,Poor,3.96,Poor
18,Feature Phone,26337821,Nokia,225,2017-12-24,2021-06-22,2022-02-18,1517 days,Yes,No,Yes,Average,9.7,Average
19,Smart Phone,90195204,Oppo,A3s,2018-11-02,2021-04-24,2022-02-18,1204 days,Yes,No,Yes,Average,6.95,Average
20,Smart Phone,03489031,Oppo,A52,2014-06-25,2021-05-03,2022-02-18,2795 days,No,No,No,Poor,4.32,Poor
21,Feature Phone,90612510,Samsung,215,2016-08-08,2021-05-17,2022-02-18,2020 days,Yes,Yes,Yes,Poor,3.67,Poor
22,Laptop,19332499,HP,Probook,2016-07-05,2021-04-11,2022-02-18,2054 days,No,Yes,No,Good,14.46,Good
23,Feature Phone,90235771,Samsung,125,2019-05-18,2021-08-02,2022-02-18,1007 days,No,Yes,Yes,Good,17.52,Good
24,Smart Phone,55797276,OnePlus,OnePlus 6T,2018-06-05,2021-07-17,2022-02-18,1354 days,Yes,Yes,Yes,Average,6.31,Average
25,Smart Phone,24379663,Oppo,Neo,2020-10-13,2021-01-29,2022-02-18,493 days,No,Yes,No,Good,17.73,Good
26,Smart Phone,88029153,Nokia,X10,2019-04-10,2021-08-08,2022-02-18,1045 days,No,Yes,No,Good,16.35,Good
27,Smart Phone,27351819,Oppo,A3s,2017-08-14,2021-04-21,2022-02-18,1649 days,No,No,Yes,Good,15.7,Good
28,Feature Phone,00955966,Nokia,215,2014-03-16,2021-07-02,2022-02-18,2896 days,Yes,Yes,Yes,Average,8.88,Average
29,Smart Phone,01421613,Oppo,Find 7,2016-10-23,2021-03-23,2022-02-18,1944 days,No,Yes,No,Good,18.24,Good
30,Smart Phone,89789186,Blackberry,Passport,2018-03-28,2021-05-07,2022-02-18,1423 days,No,No,No,Average,9.49,Average
31,Smart Phone,29132959,Nokia,T20,2016-03-26,2021-05-10,2022-02-18,2155 days,Yes,No,Yes,Average,8.4,Average
32,Laptop,73060000,Lenovo,ThinkPad,2018-02-09,2021-03-27,2022-02-18,1470 days,No,No,No,Good,15.97,Good
33,Feature Phone,59973867,Nokia,8000,2017-08-12,2021-01-25,2022-02-18,1651 days,No,No,Yes,Good,12.6,Good
34,Laptop,20850692,Apple,MacBook,2020-09-24,2021-03-27,2022-02-18,512 days,No,Yes,No,Poor,2.17,Poor
35,Smart Phone,65016282,Oppo,Find 7,2020-09-29,2021-05-18,2022-02-18,507 days,No,Yes,No,Average,9.88,Average
36,Smart Phone,16284326,Nokia,T20,2019-06-24,2021-07-06,2022-02-18,970 days,No,No,Yes,Poor,2.85,Poor
37,Smart Phone,98971312,Nokia,G50,2020-08-01,2021-02-12,2022-02-18,566 days,No,No,No,Poor,1.8,Poor
38,Laptop,76161445,Lenovo,Ideapad,2015-12-14,2021-06-24,2022-02-18,2258 days,No,Yes,Yes,Average,8.2,Average
39,Laptop,27587850,Lenovo,ThinkPad,2019-06-15,2021-07-14,2022-02-18,979 days,No,Yes,No,Average,9.91,Average
40,Smart Phone,26271613,Blackberry,Curve,2015-02-20,2021-03-06,2022-02-18,2555 days,No,No,No,Poor,2.92,Poor
41,Smart Phone,83576690,Blackberry,Curve,2015-06-09,2021-06-06,2022-02-18,2446 days,Yes,No,Yes,Average,6.9,Average
42,Feature Phone,46251497,Nokia,225,2016-10-16,2021-05-27,2022-02-18,1951 days,No,No,No,Poor,4.25,Poor
43,Laptop,78331372,Lenovo,Ideapad,2018-10-03,2021-05-28,2022-02-18,1234 days,No,No,Yes,Poor,2.62,Poor
44,Laptop,93250764,Dell,Vostro,2015-01-31,2021-01-20,2022-02-18,2575 days,No,No,No,Average,7.38,Average
45,Laptop,38918506,Dell,Inspiron,2018-09-17,2021-05-04,2022-02-18,1250 days,No,Yes,No,Poor,1.45,Poor
46,Laptop,35609827,HP,Probook,2019-04-01,2021-04-01,2022-02-18,1054 days,Yes,No,Yes,Good,12.27,Good
47,Feature Phone,58861257,Samsung,6300,2015-04-10,2021-07-31,2022-02-18,2506 days,No,Yes,Yes,Poor,4.36,Poor
48,Smart Phone,57217185,Apple,Iphone SE,2018-01-29,2021-08-06,2022-02-18,1481 days,Yes,No,Yes,Average,7.44,Average
49,Smart Phone,53752857,Samsung,Galaxy A8s,2019-03-08,2021-03-16,2022-02-18,1078 days,No,No,No,Average,9.77,Average
50,Feature Phone,15401595,Samsung,215,2019-03-12,2021-04-03,2022-02-18,1074 days,No,Yes,Yes,Poor,3.65,Poor
51,Feature Phone,27685945,Samsung,5310,2015-02-08,2021-01-14,2022-02-18,2567 days,No,Yes,No,Good,12.71,Good
52,Smart Phone,38115592,OnePlus,OnePlus 7pro,2019-11-21,2021-01-09,2022-02-18,820 days,No,No,No,Average,9.83,Average
53,Laptop,87727289,Dell,Vostro,2014-10-04,2021-02-25,2022-02-18,2694 days,Yes,Yes,Yes,Good,13.8,Good
54,Laptop,04829171,Dell,Inspiron,2017-09-05,2021-02-18,2022-02-18,1627 days,No,Yes,No,Average,9.13,Average
55,Laptop,59728849,Lenovo,Ideapad,2015-12-23,2021-06-11,2022-02-18,2249 days,No,Yes,Yes,Good,13.79,Good
56,Laptop,48139168,Dell,Vostro,2020-07-01,2021-03-04,2022-02-18,597 days,No,No,No,Good,15.79,Good
57,Feature Phone,43787821,Nokia,215,2019-10-19,2021-02-14,2022-02-18,853 days,No,No,No,Average,9.81,Average
58,Laptop,53675422,Apple,ProBook,2017-08-30,2021-05-10,2022-02-18,1633 days,No,No,Yes,Good,18.9,Good
59,Feature Phone,39121875,Nokia,125,2020-07-28,2021-05-01,2022-02-18,570 days,No,Yes,No,Average,9.22,Average
60,Smart Phone,34512739,Oppo,A11k,2019-06-06,2021-03-03,2022-02-18,988 days,Yes,No,Yes,Good,14.73,Good
61,Laptop,87478549,Dell,Vostro,2014-09-12,2021-03-25,2022-02-18,2716 days,No,No,No,Good,13.52,Good
62,Laptop,87216394,HP,Pavilion,2014-01-04,2021-05-14,2022-02-18,2967 days,No,Yes,No,Poor,2.68,Poor
63,Feature Phone,25451092,Samsung,125,2017-05-26,2021-07-20,2022-02-18,1729 days,No,Yes,Yes,Poor,2.49,Poor
64,Feature Phone,73359302,Samsung,225,2016-12-21,2021-03-23,2022-02-18,1885 days,No,Yes,No,Average,7.71,Average
65,Laptop,17511582,HP,Probook,2019-04-16,2021-02-01,2022-02-18,1039 days,No,Yes,No,Poor,4.24,Poor
66,Feature Phone,63492644,Nokia,125,2019-11-17,2021-03-28,2022-02-18,824 days,No,Yes,No,Good,19.15,Good
67,Feature Phone,81282470,Samsung,8000,2018-04-30,2021-01-14,2022-02-18,1390 days,No,Yes,Yes,Good,15.37,Good
68,Feature Phone,35425656,Nokia,125,2014-07-04,2021-03-09,2022-02-18,2786 days,No,Yes,No,Average,8.58,Average
69,Feature Phone,43075980,Nokia,8000,2015-10-22,2021-05-12,2022-02-18,2311 days,Yes,Yes,Yes,Poor,4.59,Poor
70,Smart Phone,57894485,Nokia,G300,2014-08-19,2021-01-10,2022-02-18,2740 days,No,No,Yes,Good,18.62,Good
71,Feature Phone,46282040,Nokia,8000,2014-03-20,2021-06-20,2022-02-18,2892 days,No,Yes,No,Poor,2.79,Poor
72,Smart Phone,98527403,OnePlus,OnePlus 7,2020-07-21,2021-03-17,2022-02-18,577 days,No,Yes,No,Good,11.81,Good
73,Laptop,48930765,Apple,MacBook,2019-03-29,2021-03-15,2022-02-18,1057 days,No,No,No,Poor,1.7,Poor
74,Smart Phone,60663900,Nokia,X10,2014-12-09,2021-02-06,2022-02-18,2628 days,No,No,Yes,Poor,1.76,Poor
75,Smart Phone,14046148,Apple,Iphone 5,2015-02-15,2021-01-25,2022-02-18,2560 days,Yes,Yes,Yes,Poor,4.88,Poor
76,Feature Phone,92978034,Samsung,5310,2017-06-20,2021-01-26,2022-02-18,1704 days,No,No,Yes,Good,15.38,Good
77,Laptop,41129340,Apple,MacBook,2018-10-28,2021-07-29,2022-02-18,1209 days,No,No,Yes,Good,17.82,Good
78,Feature Phone,58792391,Samsung,215,2014-11-25,2021-02-04,2022-02-18,2642 days,Yes,No,Yes,Average,7.37,Average
79,Smart Phone,64349497,Samsung,Galaxy S9,2018-05-22,2021-02-24,2022-02-18,1368 days,No,No,No,Good,16.46,Good
80,Smart Phone,02334523,OnePlus,OnePlus 7,2016-12-02,2021-04-30,2022-02-18,1904 days,Yes,Yes,Yes,Average,6.4,Average
81,Laptop,31885836,Dell,Vostro,2016-01-26,2021-02-25,2022-02-18,2215 days,No,No,No,Average,9.21,Average
82,Laptop,71952321,Apple,MacBook,2016-09-22,2021-06-03,2022-02-18,1975 days,No,No,Yes,Good,12.6,Good
83,Feature Phone,42739159,Samsung,125,2014-08-25,2021-01-28,2022-02-18,2734 days,Yes,Yes,Yes,Poor,3.72,Poor
84,Smart Phone,79214445,Nokia,X100,2020-11-06,2021-05-18,2022-02-18,469 days,Yes,No,Yes,Poor,1.77,Poor
