,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,Assessment_Date,Age(days),device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
0,Feature Phone,41181218,Nokia,6300,2016-12-05,2021-07-26,2022-01-13,1865,No,No,No,Poor,2.86,Poor
1,Laptop,33295510,Lenovo,Ideapad,2019-02-19,2021-05-28,2022-01-08,1054,No,No,Yes,Good,19.1,Good
2,Feature Phone,44719050,Nokia,225,2014-03-08,2021-04-16,2022-01-31,2886,No,Yes,No,Poor,4.34,Poor
3,Feature Phone,75689223,Samsung,6300,2014-12-01,2021-05-20,2022-01-03,2590,No,No,Yes,Poor,4.6,Poor
4,Laptop,38511752,Apple,MacBook,2015-12-06,2021-05-26,2022-01-23,2240,No,No,No,Average,6.89,Average
5,Feature Phone,03306680,Nokia,5310,2019-12-24,2021-02-26,2022-02-12,781,No,No,Yes,Poor,1.68,Poor
6,Feature Phone,74219735,Nokia,5310,2017-02-05,2021-07-09,2022-01-28,1818,Yes,Yes,Yes,Poor,2.64,Poor
7,Feature Phone,15312839,Samsung,125,2018-12-06,2021-07-11,2022-01-07,1128,No,No,Yes,Average,7.96,Average
8,Smart Phone,10822227,Nokia,C20 Plus,2019-01-23,2021-01-06,2022-02-11,1115,Yes,No,Yes,Average,8.28,Average
9,Smart Phone,64462622,Blackberry,Q5,2016-04-02,2021-06-08,2022-02-07,2137,No,No,No,Average,7.5,Average
10,Feature Phone,98959662,Samsung,5310,2015-12-27,2021-02-22,2022-01-12,2208,Yes,Yes,Yes,Good,15.26,Good
11,Smart Phone,37618971,Apple,Iphone XR,2018-05-24,2021-08-01,2022-01-27,1344,No,No,No,Poor,3.91,Poor
12,Smart Phone,91142573,Blackberry,Passport,2014-11-04,2021-06-23,2022-02-09,2654,No,No,Yes,Good,18.31,Good
13,Laptop,07969133,Apple,MacBook,2014-08-08,2021-03-24,2022-01-11,2713,Yes,No,Yes,Poor,2.77,Poor
14,Feature Phone,94340235,Nokia,5310,2015-11-20,2021-06-15,2022-01-19,2252,No,No,Yes,Poor,1.12,Poor
15,Feature Phone,49518009,Samsung,225,2015-12-14,2021-03-06,2022-02-21,2261,No,Yes,Yes,Average,9.86,Average
16,Smart Phone,89585191,Blackberry,Keyone,2016-06-29,2021-02-01,2022-01-31,2042,Yes,No,Yes,Poor,4.67,Poor
17,Smart Phone,55354967,Blackberry,Aurora,2014-09-07,2021-07-08,2022-01-02,2674,No,Yes,No,Average,6.7,Average
18,Smart Phone,79947732,OnePlus,OnePlus 7T,2016-02-08,2021-03-03,2022-01-07,2160,No,Yes,Yes,Poor,1.29,Poor
19,Laptop,01642285,Dell,Inspiron,2016-01-02,2021-02-24,2022-01-02,2192,No,Yes,No,Poor,4.73,Poor
20,Feature Phone,84625809,Nokia,125,2019-07-09,2021-01-05,2022-02-20,957,No,Yes,Yes,Poor,3.32,Poor
21,Smart Phone,56878776,Samsung,Galaxy S9,2014-01-02,2021-02-18,2022-01-08,2928,No,Yes,Yes,Good,16.34,Good
22,Laptop,30334151,Dell,Vostro,2019-02-15,2021-03-11,2022-01-07,1057,Yes,Yes,Yes,Poor,1.21,Poor
23,Laptop,77436290,Apple,ProBook,2017-05-12,2021-02-27,2022-01-28,1722,No,Yes,No,Good,19.19,Good
